spinout_id,year,founded,state,intel_ipr,intel_ownership,intel_capital,others_capital,round_cvc,total_cvc,sic,intel_industry,founder_executive,founders_exp,founders_seniority,founders_kn_spec,patents,uspc_classes,claims,backward_citations,forward_citations,human_capital,intel_specific_human_capital,social_capital,intel_specific_social_capital,acquired,closed,founding_team,employees
1477,2011,2011,CA,0,0,0,0,0,0,ND,0,0,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1477,2012,2011,CA,0,0,0,0,0,0,ND,0,0,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1477,2013,2011,CA,0,0,0,0,0,0,ND,0,0,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1477,2014,2011,CA,0,0,0,0,0,0,ND,0,0,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1477,2015,2011,CA,0,0,0,0,0,0,ND,0,0,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1484,2010,2010,CA,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1484,2011,2010,CA,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1484,2012,2010,CA,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1484,2013,2010,CA,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1484,2014,2010,CA,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1484,2015,2010,CA,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1488,2013,2013,CA,0,0,0,0,0,0,ND,0,0,0,2,1,0,,0,0,0,0,0,0,0,0,0,1,0
1488,2014,2013,CA,0,0,0,0,0,0,ND,0,0,0,2,1,0,,0,0,0,0,0,0,0,0,0,1,0
1488,2015,2013,CA,0,0,0,0,0,0,ND,0,0,0,2,1,0,,0,0,0,0,0,0,0,0,0,1,0
1499,2013,2013,CA,0,0,0,0,0,0,ND,0,1,0,19,1,0,,0,0,0,0,0,0,0,0,0,1,0
1499,2014,2013,CA,0,0,0,0,0,0,ND,0,1,0,19,1,0,,0,0,0,0,0,0,0,0,0,1,0
1499,2015,2013,CA,0,0,0,0,0,0,ND,0,1,0,19,1,0,,0,0,0,0,0,0,0,0,0,1,0
1500,2011,2011,OR,0,0,0,0,0,0,ND,0,1,0,1,0,0,,0,0,0,7.9375,2,24.625,5,0,0,2,16
1500,2012,2011,OR,0,0,0,0,0,0,ND,0,1,0,1,0,0,,0,0,0,12.4375,1.5,33.25,7.75,0,0,2,15
1500,2013,2011,OR,0,0,0,0,0,0,ND,0,1,0,1,0,0,,0,0,0,8,.75,20.75,4.875,0,0,2,19
1500,2014,2011,OR,0,0,0,0,0,0,ND,0,1,0,1,0,0,,0,0,0,4.5,.5,11.9375,2.75,0,0,2,16
1500,2015,2011,OR,0,0,0,0,0,0,ND,0,1,0,1,0,0,,0,0,0,3.875,.375,7.75,1.9375,0,0,2,15
1533,2000,2000,CA,0,0,0,0,0,0,ND,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,2
1533,2001,2000,CA,0,0,0,0,0,0,ND,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,2
1533,2002,2000,CA,0,0,0,0,0,0,ND,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,1
